127.0.0.1 - - [13/Mar/2023:14:02:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Mar/2023:14:02:23 +0900] "GET /webpr/0310/timeout_interval.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:14:02:23 +0900] "GET /webpr/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:14:02:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Mar/2023:14:09:34 +0900] "GET /webpr/0313/location.html HTTP/1.1" 200 740
0:0:0:0:0:0:0:1 - - [13/Mar/2023:14:09:54 +0900] "GET /webpr/0313/location.html HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [13/Mar/2023:14:09:54 +0900] "GET /webpr/css/mystyle.css HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [13/Mar/2023:14:09:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Mar/2023:14:09:54 +0900] "GET /webpr/0313/location.html HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [13/Mar/2023:14:09:54 +0900] "GET /webpr/css/mystyle.css HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [13/Mar/2023:14:09:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Mar/2023:14:09:54 +0900] "GET /webpr/0313/location.html HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [13/Mar/2023:14:09:54 +0900] "GET /webpr/css/mystyle.css HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [13/Mar/2023:14:09:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Mar/2023:14:09:54 +0900] "GET /webpr/0313/location.html HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [13/Mar/2023:14:09:54 +0900] "GET /webpr/css/mystyle.css HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [13/Mar/2023:14:09:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Mar/2023:14:10:18 +0900] "GET /webpr/0313/location.html HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [13/Mar/2023:14:10:18 +0900] "GET /webpr/css/mystyle.css HTTP/1.1" 200 1029
0:0:0:0:0:0:0:1 - - [13/Mar/2023:14:10:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Mar/2023:14:10:18 +0900] "GET /webpr/0313/location.html HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [13/Mar/2023:14:10:18 +0900] "GET /webpr/css/mystyle.css HTTP/1.1" 200 1029
